factory_class,join_status,node_occurrence_count,workflow_count
org.knime.base.node.preproc.datavalidator.DataValidatorNodeFactory,exact_not_deprecated,1,1
org.knime.base.node.preproc.double2int2.DoubleToIntNodeFactory,exact_not_deprecated,15,2
org.knime.base.node.preproc.duplicates.DuplicateRowFilterNodeFactory,exact_not_deprecated,21,10
org.knime.base.node.preproc.equalsizesampling.EqualSizeSamplingNodeFactory,exact_not_deprecated,24,4
org.knime.base.node.preproc.filter.column.DataColumnSpecFilterNodeFactory,exact_not_deprecated,140,44
org.knime.base.node.preproc.filter.row.RowFilterNodeFactory,exact_deprecated,61,8
org.knime.base.node.preproc.filter.row3.RowFilterNodeFactory,exact_not_deprecated,64,20
org.knime.base.node.preproc.filter.row3.RowSplitterNodeFactory,exact_not_deprecated,2,2
org.knime.base.node.preproc.filter.rowref.RowFilterRefNodeFactory,exact_not_deprecated,2,1
org.knime.base.node.preproc.groupby.GroupByNodeFactory,exact_not_deprecated,234,26
org.knime.base.node.preproc.joiner.Joiner2NodeFactory,exact_deprecated,3,2
org.knime.base.node.preproc.joiner3.Joiner3NodeFactory,exact_not_deprecated,174,26
org.knime.base.node.preproc.normalize.NormalizerDeNodeFactory,exact_not_deprecated,3,1
org.knime.base.node.preproc.normalize3.Normalizer3NodeFactory,exact_not_deprecated,8,5
org.knime.base.node.preproc.partition.PartitionNodeFactory,exact_not_deprecated,7,4
org.knime.base.node.preproc.pivot.Pivot2NodeFactory,exact_not_deprecated,39,10
org.knime.base.node.preproc.pmml.missingval.compute.MissingValueHandlerNodeFactory,exact_not_deprecated,56,18
org.knime.base.node.preproc.rank.RankNodeFactory,exact_not_deprecated,4,2
org.knime.base.node.preproc.rename.RenameNodeFactory,exact_deprecated,41,7
org.knime.base.node.preproc.rounddouble.RoundDoubleNodeFactory,exact_not_deprecated,2,2
org.knime.base.node.preproc.rowkey2.RowKeyNodeFactory2,exact_not_deprecated,1,1
org.knime.base.node.preproc.sorter.SorterNodeFactory,exact_not_deprecated,31,12
org.knime.base.node.preproc.stringmanipulation.StringManipulationNodeFactory,exact_not_deprecated,34,15
org.knime.base.node.preproc.stringmanipulation.multicolumn.MultiColumnStringManipulationNodeFactory,exact_not_deprecated,6,2
org.knime.base.node.preproc.stringreplacer.StringReplacerNodeFactory,exact_not_deprecated,3,3
org.knime.base.node.preproc.table.updater.TableUpdaterNodeFactory,exact_not_deprecated,1,1
org.knime.base.node.preproc.ungroup.UngroupNodeFactory,exact_not_deprecated,2,2
