index,factory
6,org.knime.base.node.preproc.equalsizesampling.EqualSizeSamplingNodeFactory
6,org.knime.base.node.preproc.equalsizesampling.EqualSizeSamplingNodeFactory
6,org.knime.base.node.preproc.equalsizesampling.EqualSizeSamplingNodeFactory
6,org.knime.base.node.preproc.equalsizesampling.EqualSizeSamplingNodeFactory
6,org.knime.base.node.preproc.equalsizesampling.EqualSizeSamplingNodeFactory
6,org.knime.base.views.node.roccurve.ROCCurveNodeFactory
7,org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory
7,org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory
7,org.knime.base.node.io.filehandling.csv.reader.CSVTableReaderNodeFactory
7,org.knime.base.node.io.filehandling.csv.writer.CSVWriter2NodeFactory
7,org.knime.base.node.io.filehandling.csv.writer.CSVWriter2NodeFactory
7,org.knime.base.node.preproc.cellsplit2.CellSplitter2NodeFactory
7,org.knime.base.node.preproc.colcombine2.ColCombine2NodeFactory
7,org.knime.base.node.preproc.colcombine2.ColCombine2NodeFactory
7,org.knime.base.node.preproc.colcombine2.ColCombine2NodeFactory
7,org.knime.base.node.preproc.colcombine2.ColCombine2NodeFactory
7,org.knime.base.node.preproc.colcombine2.ColCombine2NodeFactory
7,org.knime.base.node.preproc.colcombine2.ColCombine2NodeFactory
7,org.knime.base.node.preproc.colcombine2.ColCombine2NodeFactory
7,org.knime.base.node.preproc.colcombine2.ColCombine2NodeFactory
8,org.knime.base.node.io.filehandling.csv.reader.FileReaderNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.append.row.AppendedRowsNodeFactory
8,org.knime.base.node.preproc.colcombine2.ColCombine2NodeFactory
8,org.knime.base.node.preproc.colconvert.stringtonumber2.StringToNumber2NodeFactory
8,org.knime.base.node.preproc.colconvert.stringtonumber2.StringToNumber2NodeFactory
8,org.knime.base.node.preproc.colconvert.stringtonumber2.StringToNumber2NodeFactory
8,org.knime.base.node.preproc.columnresorter.ColumnResorterNodeFactory
8,org.knime.base.node.preproc.columnresorter.ColumnResorterNodeFactory
8,org.knime.base.node.preproc.columnresorter.ColumnResorterNodeFactory
8,org.knime.base.node.preproc.columnresorter.ColumnResorterNodeFactory
8,org.knime.base.node.preproc.columnresorter.ColumnResorterNodeFactory
8,org.knime.base.node.preproc.columnresorter.ColumnResorterNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
8,org.knime.base.node.preproc.constantvalue.ConstantValueColumnNodeFactory
